"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","1","","77","0","","0"
"0","","0","Login","3","0","","0"
"0","","0","Checkout","2","0","","0"
"0","","0","Carrinho","4","0","","0"
